"lei aggiunge --> Perfetto","lei ha aggiunto"
"voi sapete --> Perfetto","voi avete saputo"
"noi preferiamo --> Perfetto","noi abbiamo preferito"
"loro(m) lasciano --> Perfetto","loro(m) hanno lasciato"
"io evito --> Perfetto","io ho evitato"
"io inizio --> Perfetto","io ho iniziato"
"tu partecipi --> Perfetto","tu hai partecipato"
"lui dice --> Perfetto","lui ha detto"
"lei prova --> Perfetto","lei ha provato"
"lui gestisce --> Perfetto","lui ha gestito"
"io comunico --> Perfetto","io ho comunicato"
"lei si siède --> Perfetto","lei si è seduta"
"loro(m) scrivono --> Perfetto","loro(m) hanno scritto"
"io assumo --> Perfetto","io ho assunto"
"lui può --> Perfetto","lui ha potuto / lei/lui è potuta"
"noi ci prepariamo --> Perfetto","noi ci siamo preparati"
"loro(m) indicano --> Perfetto","loro(m) hanno indicato"
"lui pensa --> Perfetto","lui ha pensato"
"tu acquisti --> Perfetto","tu hai acquistato"
"noi leggiamo --> Perfetto","noi abbiamo letto"
"lui dimentica --> Perfetto","lui ha dimenticato"
"loro(m) cambiano --> Perfetto","loro(m) hanno cambiato / loro sono cambiati"
"loro(f) rispettano --> Perfetto","loro(f) hanno rispettato"
"io nascondo --> Perfetto","io ho nascosto"
"io ricevo --> Perfetto","io ho ricevuto"
"tu inserisci --> Perfetto","tu hai inserito"
"tu ringrazi --> Perfetto","tu hai ringraziato"
"io uccido --> Perfetto","io ho ucciso"
"tu favorisci --> Perfetto","tu hai favorito"
"tu raggiungi --> Perfetto","tu hai raggiunto"
"lei deve --> Perfetto","lei ha dovuto"
"loro(m) chiudono --> Perfetto","loro(m) hanno chiuso"
"lei rimane --> Perfetto","lei è rimasta"
"loro(f) continuano --> Perfetto","loro(f) hanno continuato / loro sono continuate"
"loro(m) risolvono --> Perfetto","loro(m) hanno risolto"
"loro(m) rimuovono --> Perfetto","loro(m) hanno rimosso"
"lei sceglie --> Perfetto","lei ha scelto"
"loro(m) realizzano --> Perfetto","loro(m) hanno realizzato"
"lui previene --> Perfetto","lui ha prevenuto"
"lui vede --> Perfetto","lui ha visto/eduto"
"io mi pettino --> Perfetto","io mi sono pettinato"
"io invio --> Perfetto","io ho inviato"
"tu permetti --> Perfetto","tu hai permesso"
"lui impara --> Perfetto","lui ha imparato"
"io salto --> Perfetto","io ho saltato / io sono saltato"
"lui utilizza --> Perfetto","lui ha utilizzato"
"lui si lava --> Perfetto","lui si è lavato"
"lei migliora --> Perfetto","lei ha migliorato"
"lei chiama --> Perfetto","lei ha chiamato"
"lei sale --> Perfetto","lei ha salito / lei/lui è salita"
"lui guarda --> Perfetto","lui ha guardato"
"tu ti alzi --> Perfetto","tu ti sei alzato"
"loro(m) chiedono --> Perfetto","loro(m) hanno chiesto"
"voi costruite --> Perfetto","voi avete costruito"
"voi installate --> Perfetto","voi avete installato"
"loro(f) vivono --> Perfetto","loro(f) hanno vissuto / loro sono vissute"
"loro(m) considerano --> Perfetto","loro(m) hanno considerato"
"loro(m) mantengono --> Perfetto","loro(m) hanno mantenuto"
"io verifico --> Perfetto","io ho verificato"
"lui assicura --> Perfetto","lui ha assicurato"
"tu trovi --> Perfetto","tu hai trovato"
"tu superi --> Perfetto","tu hai superato"
"loro(m) cadono --> Perfetto","loro sono caduti"
"lei dimostra --> Perfetto","lei ha dimostrato"
"loro(m) sono --> Perfetto","loro sono stati"
"loro(f) eliminano --> Perfetto","loro(f) hanno eliminato"
"lei risponde --> Perfetto","lei ha risposto"
"io bevo --> Perfetto","io ho bevuto"
"loro(f) usano --> Perfetto","loro(f) hanno usato"
"loro(m) hanno --> Perfetto","loro(m) hanno avuto"
"voi vendete --> Perfetto","voi avete venduto"
"io passo --> Perfetto","io ho passato / io sono passato"
"loro(m) garantiscono --> Perfetto","loro(m) hanno garantito"
"tu conosci --> Perfetto","tu hai conosciuto"
"voi ponete --> Perfetto","voi avete posto"
"loro(m) si innamorano --> Perfetto","loro si sono innamorati"
