"lei prepara --> Condizionale Passato","lei avrebbe preparato"
"lui trova --> Condizionale Passato","lui avrebbe trovato"
"lui applica --> Condizionale Passato","lui avrebbe applicato"
"loro(f) proteggono --> Condizionale Passato","loro(f) avrebbero protetto"
"loro(m) migliorano --> Condizionale Passato","loro(m) avrebbero migliorato"
"voi favorite --> Condizionale Passato","voi avreste favorito"
"noi ci sediamo --> Condizionale Passato","noi ci saremmo seduti"
"tu sali --> Condizionale Passato","tu avresti salito / tu saresti salito"
"io dimostro --> Condizionale Passato","io avrei dimostrato"
"lui promuove --> Condizionale Passato","lui avrebbe promosso"
"tu aiuti --> Condizionale Passato","tu avresti aiutato"
"io supero --> Condizionale Passato","io avrei superato"
"lei esamina --> Condizionale Passato","lei avrebbe esaminato"
"loro(f) si arrabbiano --> Condizionale Passato","loro si sarebbero arrabbiate"
"tu difendi --> Condizionale Passato","tu avresti difeso"
"loro(f) si ricordano --> Condizionale Passato","loro si sarebbero ricordate"
"noi discutiamo --> Condizionale Passato","noi avremmo discusso"
"loro(m) si perdono --> Condizionale Passato","loro si sarebbero persi"
"lui vuole --> Condizionale Passato","lui avrebbe voluto"
"lui può --> Condizionale Passato","lui avrebbe potuto / lei/lui sarebbe potuta"
"lui si preoccupa --> Condizionale Passato","lui si sarebbe preoccupato"
"tu guardi --> Condizionale Passato","tu avresti guardato"
"io mi fermo --> Condizionale Passato","io mi sarei fermato"
"lui parla --> Condizionale Passato","lui avrebbe parlato"
"voi vi addormentate --> Condizionale Passato","voi vi sareste addormentati"
"lei definisce --> Condizionale Passato","lei avrebbe definito"
"tu appari --> Condizionale Passato","tu saresti apparso"
"lui segue --> Condizionale Passato","lui avrebbe seguito / lei/lui sarebbe seguita"
"voi effettuate --> Condizionale Passato","voi avreste effettuato"
"noi limitiamo --> Condizionale Passato","noi avremmo limitato"
"lui sostiene --> Condizionale Passato","lui avrebbe sostenuto"
"loro(f) si vestono --> Condizionale Passato","loro si sarebbero vestite"
"loro(m) vedono/eggono --> Condizionale Passato","loro(m) avrebbero visto/eduto"
"lei richiede --> Condizionale Passato","lei avrebbe richiesto"
"io chiedo --> Condizionale Passato","io avrei chiesto"
"tu mangi --> Condizionale Passato","tu avresti mangiato"
"noi assicuriamo --> Condizionale Passato","noi avremmo assicurato"
"loro(m) costruiscono --> Condizionale Passato","loro(m) avrebbero costruito"
"loro(f) si sbrigano --> Condizionale Passato","loro si sarebbero sbrigate"
"voi studiate --> Condizionale Passato","voi avreste studiato"
"lei esegue --> Condizionale Passato","lei avrebbe eseguito"
"tu controlli --> Condizionale Passato","tu avresti controllato"
"lui canta --> Condizionale Passato","lui avrebbe cantato"
"lei previene --> Condizionale Passato","lei avrebbe prevenuto"
"lui partecipa --> Condizionale Passato","lui avrebbe partecipato"
"lei parte --> Condizionale Passato","lei sarebbe partita"
"lei svolge --> Condizionale Passato","lei avrebbe svolto"
"loro(f) piacciono --> Condizionale Passato","loro sarebbero piaciute"
"loro(m) inseriscono --> Condizionale Passato","loro(m) avrebbero inserito"
"loro(m) si preparano --> Condizionale Passato","loro si sarebbero preparati"
"loro(m) viaggiano --> Condizionale Passato","loro(m) avrebbero viaggiato"
"io scelgo --> Condizionale Passato","io avrei scelto"
"noi preferiamo --> Condizionale Passato","noi avremmo preferito"
"voi introducete --> Condizionale Passato","voi avreste introdotto"
"loro(f) valutano --> Condizionale Passato","loro(f) avrebbero valutato"
"lui agisce --> Condizionale Passato","lui avrebbe agito"
"io scarico --> Condizionale Passato","io avrei scaricato"
"tu diventi --> Condizionale Passato","tu saresti diventato"
"lui esce --> Condizionale Passato","lui sarebbe uscito"
"lei sostituisce --> Condizionale Passato","lei avrebbe sostituito"
"io ascolto --> Condizionale Passato","io avrei ascoltato"
"loro(f) aprono --> Condizionale Passato","loro(f) avrebbero aperto"
"loro(f) capiscono --> Condizionale Passato","loro(f) avrebbero capito"
"loro(f) riconoscono --> Condizionale Passato","loro(f) avrebbero riconosciuto"
"voi coprite --> Condizionale Passato","voi avreste coperto"
"voi perdete --> Condizionale Passato","voi avreste perso"
"voi vi fate --> Condizionale Passato","voi vi sareste fatti"
"lui risponde --> Condizionale Passato","lui avrebbe risposto"
"loro(m) indicano --> Condizionale Passato","loro(m) avrebbero indicato"
"lei abita --> Condizionale Passato","lei avrebbe abitato"
"tu ti annoi --> Condizionale Passato","tu ti saresti annoiato"
"loro(f) conoscono --> Condizionale Passato","loro(f) avrebbero conosciuto"
"voi continuate --> Condizionale Passato","voi avreste continuato / voi sareste continuati"
"voi adottate --> Condizionale Passato","voi avreste adottato"
"loro(f) spengono --> Condizionale Passato","loro(f) avrebbero spento"
"voi installate --> Condizionale Passato","voi avreste installato"
"voi pensate --> Condizionale Passato","voi avreste pensato"
"noi godiamo --> Condizionale Passato","noi avremmo goduto"
"noi scopriamo --> Condizionale Passato","noi avremmo scoperto"
"io permetto --> Condizionale Passato","io avrei permesso"
"loro(f) si sentono --> Condizionale Passato","loro si sarebbero sentite"
"lui incontra --> Condizionale Passato","lui avrebbe incontrato"
"io lascio --> Condizionale Passato","io avrei lasciato"
"voi guidate --> Condizionale Passato","voi avreste guidato"
"tu nascondi --> Condizionale Passato","tu avresti nascosto"
"voi accettate --> Condizionale Passato","voi avreste accettato"
"loro(m) tengono --> Condizionale Passato","loro(m) avrebbero tenuto"
