"Front","Back"
"(adesso) io ABITARE","(io) abito"
"(adesso) tu ABITARE","(tu) abiti"
"(adesso) lei ABITARE","(lei) abita"
"(adesso) noi ABITARE","(noi) abitiamo"
"(adesso) voi ABITARE","(voi) abitate"
"(adesso) loro ABITARE","(loro) abitano"
"(ieri) loro ABITARE","(loro) abitavano"
"(molto tempo fa) io ABITARE","(io) abitai"
"(molto tempo fa) lei ABITARE","(lei) abitò"
"(domani) lei ABITARE","(lei) abiterà"
"(perfetto) io ABITARE","(io) ho abitato"
"(perchè ieri) lui ABITARE","(lui) aveva abitato"
"che io ABITARE","(che io) abiti"
"che loro ABITARE","(che loro) abitino"
"(perfetto) che io ABITARE","(che io) abbia abitato"
"(perfetto) che noi ABITARE","(che noi) abbiamo abitato"
"se (presente) io ABITARE","se (io) abiterei"
"se (presente) lei ABITARE","se (lei) abiterebbe"
"se (passato) loro ABITARE","se (loro) avrebbero abitato"
"(...ndo) ...  ABITARE","(... ) abitando"
"(passato ...ndo) ABITARE","(avendo) abitato"
"(aggetivo) ...  ABITARE","(... ) abitante"
"(per favore) ...  ABITARE","(... ) abita"
"(adesso) io ACCOMODARSI","(io) mi accomodo"
"(adesso) tu ACCOMODARSI","(tu) ti accomodi"
"(adesso) lei ACCOMODARSI","(lei) si accomoda"
"(adesso) noi ACCOMODARSI","(noi) ci accomodiamo"
"(adesso) voi ACCOMODARSI","(voi) vi accomodate"
"(adesso) loro ACCOMODARSI","(loro) si accomodano"
"(ieri) loro ACCOMODARSI","(loro) si accomodavano"
"(molto tempo fa) io ACCOMODARSI","(io) mi accomodai"
"(molto tempo fa) tu ACCOMODARSI","(tu) ti accomodasti"
"(domani) tu ACCOMODARSI","(tu) ti accomoderai"
"(perfetto) tu ACCOMODARSI","(tu) ti sei accomodato"
"(perchè ieri) lui ACCOMODARSI","(lui) si era accomodato"
"che io ACCOMODARSI","(che io) mi accomodi"
"che lei ACCOMODARSI","(che lei) si accomodi"
"(perfetto) che io ACCOMODARSI","(che io) mi sia accomodato"
"(perfetto) che loro ACCOMODARSI","(che loro) si siano accomodati"
"se (presente) io ACCOMODARSI","se (io) mi accomoderei"
"se (presente) voi ACCOMODARSI","se (voi) vi accomodereste"
"se (passato) voi ACCOMODARSI","se (voi) vi sareste accomodati"
"(...ndo) ...  ACCOMODARSI","(... ) accomodandosi"
"(passato ...ndo) ACCOMODARSI","(essendosi) accomodato"
"(aggetivo) ...  ACCOMODARSI","(... ) accomodantesi"
"(per favore) ...  ACCOMODARSI","(... ) accomodati"
"(adesso) io ADDORMENTARSI","(io) mi addormento"
"(adesso) tu ADDORMENTARSI","(tu) ti addormenti"
"(adesso) lui ADDORMENTARSI","(lui) si addormenta"
"(adesso) noi ADDORMENTARSI","(noi) ci addormentiamo"
"(adesso) voi ADDORMENTARSI","(voi) vi addormentate"
"(adesso) loro ADDORMENTARSI","(loro) si addormentano"
"(ieri) voi ADDORMENTARSI","(voi) vi addormentavate"
"(molto tempo fa) io ADDORMENTARSI","(io) mi addormentai"
