"loro(f) gestiscono --> Futuro","loro(f) gestiranno"
"noi pensiamo --> Futuro","noi penseremo"
"noi attuiamo --> Futuro","noi attueremo"
"voi mantenete --> Futuro","voi manterrete"
"loro(m) escono --> Futuro","loro(m) usciranno"
"voi immaginate --> Futuro","voi immaginerete"
"noi incontriamo --> Futuro","noi incontreremo"
"noi superiamo --> Futuro","noi supereremo"
"lei elimina --> Futuro","lei eliminerà"
"lui vede --> Futuro","lui vedrà"
"loro(f) amano --> Futuro","loro(f) ameranno"
"tu ti sbrighi --> Futuro","tu ti sbrigherai"
"loro(f) si preparano --> Futuro","loro(f) si prepareranno"
"io parlo --> Futuro","io parlerò"
"lui lavora --> Futuro","lui lavorerà"
"lui realizza --> Futuro","lui realizzerà"
"voi organizzate --> Futuro","voi organizzerete"
"lei si perde --> Futuro","lei si perderà"
"lei mostra --> Futuro","lei mostrerà"
"voi svolgete --> Futuro","voi svolgerete"
"lei passa --> Futuro","lei passerà"
"lei si veste --> Futuro","lei si vestirà"
"voi vi svegliate --> Futuro","voi vi sveglierete"
"loro(f) risolvono --> Futuro","loro(f) risolveranno"
"io salto --> Futuro","io salterò"
"lui viaggia --> Futuro","lui viaggerà"
"lei sopravvive --> Futuro","lei sopravvivrà"
"noi dobbiamo --> Futuro","noi dovremo"
"lei beve --> Futuro","lei berrà"
"loro(m) incoraggiano --> Futuro","loro(m) incoraggeranno"
"loro(m) includono --> Futuro","loro(m) includeranno"
"lei appare --> Futuro","lei apparirà"
"voi esprimete --> Futuro","voi esprimerete"
"loro(m) visitano --> Futuro","loro(m) visiteranno"
"noi decidiamo --> Futuro","noi decideremo"
"loro(f) si preoccupano --> Futuro","loro(f) si preoccuperanno"
"tu canti --> Futuro","tu canterai"
"lei conferma --> Futuro","lei confermerà"
"voi comunicate --> Futuro","voi comunicherete"
"tu ridi --> Futuro","tu riderai"
"lei riconosce --> Futuro","lei riconoscerà"
"tu vendi --> Futuro","tu venderai"
"tu ti ricordi --> Futuro","tu ti ricorderai"
"voi salvate --> Futuro","voi salverete"
"lei indica --> Futuro","lei indicherà"
"lui aspetta --> Futuro","lui aspetterà"
"lui si siède --> Futuro","lui si sederà/iederà"
"voi impedite --> Futuro","voi impedirete"
"loro(f) finanziano --> Futuro","loro(f) finanzieranno"
"noi creiamo --> Futuro","noi creeremo"
"tu uccidi --> Futuro","tu ucciderai"
"voi affrontate --> Futuro","voi affronterete"
"noi poniamo --> Futuro","noi porremo"
"voi state --> Futuro","voi starete"
"noi continuiamo --> Futuro","noi continueremo"
