"lei favorisce --> Trapassato Prossimo","lei aveva favorito"
"noi causiamo --> Trapassato Prossimo","noi avevamo causato"
"lei passa --> Trapassato Prossimo","lei aveva passato / lei/lui era passata"
"io parto --> Trapassato Prossimo","io ero partito"
"tu usi --> Trapassato Prossimo","tu avevi usato"
"loro(f) incoraggiano --> Trapassato Prossimo","loro(f) avevano incoraggiato"
"loro(m) uccidono --> Trapassato Prossimo","loro(m) avevano ucciso"
"io includo --> Trapassato Prossimo","io avevo incluso"
"loro(f) tornano --> Trapassato Prossimo","loro erano tornate"
"loro(m) aggiungono --> Trapassato Prossimo","loro(m) avevano aggiunto"
"voi assumete --> Trapassato Prossimo","voi avevate assunto"
"noi abbiamo --> Trapassato Prossimo","noi avevamo avuto"
"loro(m) soddisfano --> Trapassato Prossimo","loro(m) avevano soddisfatto"
"voi guidate --> Trapassato Prossimo","voi avevate guidato"
"voi svolgete --> Trapassato Prossimo","voi avevate svolto"
"loro(m) migliorano --> Trapassato Prossimo","loro(m) avevano migliorato"
"noi confermiamo --> Trapassato Prossimo","noi avevamo confermato"
"noi inviamo --> Trapassato Prossimo","noi avevamo inviato"
"lui dimostra --> Trapassato Prossimo","lui aveva dimostrato"
"lui capisce --> Trapassato Prossimo","lui aveva capito"
"tu acquisti --> Trapassato Prossimo","tu avevi acquistato"
"lui si pettina --> Trapassato Prossimo","lui si era pettinato"
"loro(f) immaginano --> Trapassato Prossimo","loro(f) avevano immaginato"
"io completo --> Trapassato Prossimo","io avevo completato"
"lei compra --> Trapassato Prossimo","lei aveva comprato"
"voi temete --> Trapassato Prossimo","voi avevate temuto"
"io rendo --> Trapassato Prossimo","io avevo reso"
"loro(m) rafforzano --> Trapassato Prossimo","loro(m) avevano rafforzato"
"io spengo --> Trapassato Prossimo","io avevo spento"
"lei fa --> Trapassato Prossimo","lei aveva fatto"
"noi chiudiamo --> Trapassato Prossimo","noi avevamo chiuso"
"loro(f) utilizzano --> Trapassato Prossimo","loro(f) avevano utilizzato"
"loro(m) effettuano --> Trapassato Prossimo","loro(m) avevano effettuato"
"tu viaggi --> Trapassato Prossimo","tu avevi viaggiato"
"loro(m) attuano --> Trapassato Prossimo","loro(m) avevano attuato"
"io proteggo --> Trapassato Prossimo","io avevo protetto"
"tu cadi --> Trapassato Prossimo","tu eri caduto"
"io continuo --> Trapassato Prossimo","io avevo continuato / io ero continuato"
"loro(f) selezionano --> Trapassato Prossimo","loro(f) avevano selezionato"
"loro(f) mostrano --> Trapassato Prossimo","loro(f) avevano mostrato"
"loro(f) impediscono --> Trapassato Prossimo","loro(f) avevano impedito"
"noi finiamo --> Trapassato Prossimo","noi avevamo finito / noi eravamo finiti"
"tu lasci --> Trapassato Prossimo","tu avevi lasciato"
"loro(m) iniziano --> Trapassato Prossimo","loro(m) avevano iniziato"
"noi cominciamo --> Trapassato Prossimo","noi avevamo cominciato"
"noi sostituiamo --> Trapassato Prossimo","noi avevamo sostituito"
"loro(f) combattono --> Trapassato Prossimo","loro(f) avevano combattuto"
"lei esce --> Trapassato Prossimo","lei era uscita"
"voi seguite --> Trapassato Prossimo","voi avevate seguito / voi eravate seguiti"
"lui ferma --> Trapassato Prossimo","lui aveva fermato"
"io guardo --> Trapassato Prossimo","io avevo guardato"
"noi ci chiediamo --> Trapassato Prossimo","noi ci eravamo chiesti"
"noi parliamo --> Trapassato Prossimo","noi avevamo parlato"
"loro(m) pensano --> Trapassato Prossimo","loro(m) avevano pensato"
"lui tiene --> Trapassato Prossimo","lui aveva tenuto"
"io cresco --> Trapassato Prossimo","io avevo cresciuto / io ero cresciuto"
"loro(m) danno --> Trapassato Prossimo","loro(m) avevano dato"
"loro(m) riducono --> Trapassato Prossimo","loro(m) avevano ridotto"
"loro(m) vivono --> Trapassato Prossimo","loro(m) avevano vissuto / loro erano vissuti"
"voi vi annoiate --> Trapassato Prossimo","voi vi eravate annoiati"
"io sopravvivo --> Trapassato Prossimo","io ero sopravvissuto"
"lei trova --> Trapassato Prossimo","lei aveva trovato"
