"lui incoraggia -> (che) Imperfetto","che lui incoraggiasse"
"tu incontri -> (che) Imperfetto","che tu incontrassi"
"lei gode -> (che) Presente","che lei goda"
"noi ci arrabbiamo -> (che) Presente","che noi ci arrabbiamo"
"tu leggi -> (che) Imperfetto","che tu leggessi"
"loro(m) modificano -> (che) Presente","che loro(m) modifichino"
"loro(m) mangiano -> (che) Presente","che loro(m) mangino"
"loro(f) offrono -> (che) Presente","che loro(f) offrano"
"voi immaginate -> (che) Presente","che voi immaginiate"
"voi finanziate -> (che) Imperfetto","che voi finanziaste"
"lui difende -> (che) Presente","che lui difenda"
"lei considera -> (che) Imperfetto","che lei considerasse"
"tu ti perdi -> (che) Imperfetto","che tu ti perdessi"
"lui vince -> (che) Imperfetto","che lui vincesse"
"voi comprendete -> (che) Presente","che voi comprendiate"
"lui soddisfa -> (che) Presente","che lui soddisfi"
"loro(m) favoriscono -> (che) Presente","che loro(m) favoriscano"
"loro(m) temono -> (che) Presente","che loro(m) temano"
"tu mantieni -> (che) Imperfetto","che tu mantenessi"
"lui canta -> (che) Presente","che lui canti"
"voi scendete -> (che) Imperfetto","che voi scendeste"
"io mi alzo -> (che) Presente","che io mi alzi"
"lui presenta -> (che) Presente","che lui presenti"
"lui condivide -> (che) Presente","che lui condivida"
"lui è -> (che) Imperfetto","che lui fosse"
"tu produci -> (che) Imperfetto","che tu producessi"
"tu riduci -> (che) Imperfetto","che tu riducessi"
"lei verifica -> (che) Presente","che lei verifichi"
"voi scendete -> (che) Presente","che voi scendiate"
"io cado -> (che) Presente","che io cada"
"lui serve -> (che) Imperfetto","che lui servisse"
"loro(f) pensano -> (che) Presente","che loro(f) pensino"
"voi riconoscete -> (che) Imperfetto","che voi riconosceste"
"lui rimane -> (che) Imperfetto","che lui rimanesse"
"lui utilizza -> (che) Presente","che lui utilizzi"
"noi teniamo -> (che) Presente","che noi teniamo"
"tu mantieni -> (che) Presente","che tu mantenga"
"lei contribuisce -> (che) Imperfetto","che lei contribuisse"
"loro(f) accettano -> (che) Presente","che loro(f) accettino"
"loro(f) trovano -> (che) Imperfetto","che loro(f) trovassero"
"lei scopre -> (che) Presente","che lei scopra"
"loro(f) organizzano -> (che) Imperfetto","che loro(f) organizzassero"
"lei si accomoda -> (che) Imperfetto","che lei si accomodasse"
"voi individuate -> (che) Imperfetto","che voi individuaste"
