"loro(m) si chiamano --> Congiuntivo Imperfetto","che loro(m) si chiamassero"
"loro(f) sviluppano --> Congiuntivo Imperfetto","che loro(f) sviluppassero"
"lui vede --> Congiuntivo Imperfetto","che lui vedesse"
"voi partecipate --> Congiuntivo Imperfetto","che voi partecipaste"
"voi sembrate --> Congiuntivo Imperfetto","che voi sembraste"
"noi ci facciamo --> Congiuntivo Imperfetto","che noi ci facessimo"
"voi cucinate --> Congiuntivo Imperfetto","che voi cucinaste"
"io produco --> Congiuntivo Imperfetto","che io producessi"
"lui si mette --> Congiuntivo Imperfetto","che lui si mettesse"
"noi ci alziamo --> Congiuntivo Imperfetto","che noi ci alzassimo"
"lui mantiene --> Congiuntivo Imperfetto","che lui mantenesse"
"noi riusciamo --> Congiuntivo Imperfetto","che noi riuscissimo"
"lei usa --> Congiuntivo Imperfetto","che lei usasse"
"loro(m) funzionano --> Congiuntivo Imperfetto","che loro(m) funzionassero"
"lui si prepara --> Congiuntivo Imperfetto","che lui si preparasse"
"voi sopravvivete --> Congiuntivo Imperfetto","che voi sopravviveste"
"noi ci svegliamo --> Congiuntivo Imperfetto","che noi ci svegliassimo"
"lei fornisce --> Congiuntivo Imperfetto","che lei fornisse"
"lei mangia --> Congiuntivo Imperfetto","che lei mangiasse"
"loro(m) aggiungono --> Congiuntivo Imperfetto","che loro(m) aggiungessero"
"lui teme --> Congiuntivo Imperfetto","che lui temesse"
"loro(m) decidono --> Congiuntivo Imperfetto","che loro(m) decidessero"
"lei garantisce --> Congiuntivo Imperfetto","che lei garantisse"
"voi scrivete --> Congiuntivo Imperfetto","che voi scriveste"
"loro(m) considerano --> Congiuntivo Imperfetto","che loro(m) considerassero"
"loro(f) costruiscono --> Congiuntivo Imperfetto","che loro(f) costruissero"
"lui spedisce --> Congiuntivo Imperfetto","che lui spedisse"
"io finanzio --> Congiuntivo Imperfetto","che io finanziassi"
"lui si arrabbia --> Congiuntivo Imperfetto","che lui si arrabbiasse"
"noi difendiamo --> Congiuntivo Imperfetto","che noi difendessimo"
