"noi cerchiamo --> Passato Remoto","noi cercammo"
"noi scegliamo --> Passato Remoto","noi scegliemmo"
"lui realizza --> Passato Remoto","lui realizzò"
"tu inizi --> Passato Remoto","tu iniziasti"
"noi forniamo --> Passato Remoto","noi fornimmo"
"tu avvii --> Passato Remoto","tu avviasti"
"lui viaggia --> Passato Remoto","lui viaggiò"
"noi rendiamo --> Passato Remoto","noi rendemmo"
"loro(m) scrivono --> Passato Remoto","loro(m) scrissero"
"io continuo --> Passato Remoto","io continuai"
"loro(f) preparano --> Passato Remoto","loro(f) prepararono"
"loro(f) mostrano --> Passato Remoto","loro(f) mostrarono"
"loro(m) richiedono --> Passato Remoto","loro(m) richiesero"
"lei scende --> Passato Remoto","lei scese"
"io finanzio --> Passato Remoto","io finanziai"
"voi partite --> Passato Remoto","voi partiste"
"voi comprate --> Passato Remoto","voi compraste"
"noi recuperiamo --> Passato Remoto","noi recuperammo"
"lui balla --> Passato Remoto","lui ballò"
"noi notiamo --> Passato Remoto","noi notammo"
"voi sentite --> Passato Remoto","voi sentiste"
"tu gestisci --> Passato Remoto","tu gestisti"
"tu vivi --> Passato Remoto","tu vivesti"
"lei cambia --> Passato Remoto","lei cambiò"
"lei adotta --> Passato Remoto","lei adottò"
"loro(m) spengono --> Passato Remoto","loro(m) spensero"
"loro(m) assumono --> Passato Remoto","loro(m) assunsero"
"lui considera --> Passato Remoto","lui considerò"
"noi veniamo --> Passato Remoto","noi venimmo"
"loro(f) pagano --> Passato Remoto","loro(f) pagarono"
"loro(f) sviluppano --> Passato Remoto","loro(f) svilupparono"
"tu raccogli --> Passato Remoto","tu raccogliesti"
"noi ci annoiamo --> Passato Remoto","noi ci annoiammo"
"tu ami --> Passato Remoto","tu amasti"
"noi saliamo --> Passato Remoto","noi salimmo"
"tu soddisfi --> Passato Remoto","tu soddisfacesti"
"io apro --> Passato Remoto","io aprii/ersi"
"loro(m) sanno --> Passato Remoto","loro(m) seppero"
"voi discutete --> Passato Remoto","voi discuteste"
"voi spiegate --> Passato Remoto","voi spiegaste"
"tu ti fermi --> Passato Remoto","tu ti fermasti"
"voi indicate --> Passato Remoto","voi indicaste"
"io cado --> Passato Remoto","io caddi"
"io seleziono --> Passato Remoto","io selezionai"
"noi chiediamo --> Passato Remoto","noi chiedemmo"
"tu verifichi --> Passato Remoto","tu verificasti"
"lui prova --> Passato Remoto","lui provò"
"loro(m) aspettano --> Passato Remoto","loro(m) aspettarono"
"voi vendete --> Passato Remoto","voi vendeste"
"loro(m) comunicano --> Passato Remoto","loro(m) comunicarono"
"tu installi --> Passato Remoto","tu installasti"
"io scarico --> Passato Remoto","io scaricai"
"lui conosce --> Passato Remoto","lui conobbe"
"loro(m) si perdono --> Passato Remoto","loro(m) si persero"
"lei rafforza --> Passato Remoto","lei rafforzò"
"tu condividi --> Passato Remoto","tu condividesti"
"loro(m) impediscono --> Passato Remoto","loro(m) impedirono"
"noi ricordiamo --> Passato Remoto","noi ricordammo"
"loro(f) nascondono --> Passato Remoto","loro(f) nascosero"
"voi vi mettete --> Passato Remoto","voi vi metteste"
"loro(m) distruggono --> Passato Remoto","loro(m) distrussero"
"loro(m) si accomodano --> Passato Remoto","loro(m) si accomodarono"
"lui abita --> Passato Remoto","lui abitò"
"io arrivo --> Passato Remoto","io arrivai"
"loro(f) vogliono --> Passato Remoto","loro(f) vollero"
"loro(m) evitano --> Passato Remoto","loro(m) evitarono"
"noi guardiamo --> Passato Remoto","noi guardammo"
"noi passiamo --> Passato Remoto","noi passammo"
"tu impari --> Passato Remoto","tu imparasti"
"io causo --> Passato Remoto","io causai"
"lei serve --> Passato Remoto","lei servì"
"lui immagina --> Passato Remoto","lui immaginò"
"lei esamina --> Passato Remoto","lei esaminò"
"tu salti --> Passato Remoto","tu saltasti"
"tu chiudi --> Passato Remoto","tu chiudesti"
"loro(m) dimostrano --> Passato Remoto","loro(m) dimostrarono"
"loro(f) introducono --> Passato Remoto","loro(f) introdussero"
"io inserisco --> Passato Remoto","io inserii"
"lui risolve --> Passato Remoto","lui risolse"
"loro(m) incontrano --> Passato Remoto","loro(m) incontrarono"
