"io mi preparo --> Imperfetto","io mi preparavo"
"voi avete --> Imperfetto","voi avevate"
"loro(f) risolvono --> Imperfetto","loro(f) risolvevano"
"lui ottiene --> Imperfetto","lui otteneva"
"noi aggiungiamo --> Imperfetto","noi aggiungevamo"
"loro(m) eseguono --> Imperfetto","loro(m) eseguivano"
"lei trova --> Imperfetto","lei trovava"
"noi sappiamo --> Imperfetto","noi sapevamo"
"io assicuro --> Imperfetto","io assicuravo"
"loro(f) mettono --> Imperfetto","loro(f) mettevano"
"lui raccoglie --> Imperfetto","lui raccoglieva"
"io perdo --> Imperfetto","io perdevo"
"loro(f) vogliono --> Imperfetto","loro(f) volevano"
"loro(f) distruggono --> Imperfetto","loro(f) distruggevano"
"lei causa --> Imperfetto","lei causava"
"voi continuate --> Imperfetto","voi continuavate"
"loro(f) si arrabbiano --> Imperfetto","loro(f) si arrabbiavano"
"lei vende --> Imperfetto","lei vendeva"
"io mi chiedo --> Imperfetto","io mi chiedevo"
"voi vi innamorate --> Imperfetto","voi vi innamoravate"
"voi verificate --> Imperfetto","voi verificavate"
"tu affronti --> Imperfetto","tu affrontavi"
"loro(m) inviano --> Imperfetto","loro(m) inviavano"
"lui elimina --> Imperfetto","lui eliminava"
"noi balliamo --> Imperfetto","noi ballavamo"
"loro(f) condividono --> Imperfetto","loro(f) condividevano"
"lei si annoia --> Imperfetto","lei si annoiava"
"loro(m) cucinano --> Imperfetto","loro(m) cucinavano"
"lui avvia --> Imperfetto","lui avviava"
"io conosco --> Imperfetto","io conoscevo"
"lui sviluppa --> Imperfetto","lui sviluppava"
"loro(f) prendono --> Imperfetto","loro(f) prendevano"
"loro(m) si perdono --> Imperfetto","loro(m) si perdevano"
"loro(f) riducono --> Imperfetto","loro(f) riducevano"
"voi dimenticate --> Imperfetto","voi dimenticavate"
"lui dà --> Imperfetto","lui dava"
"noi viviamo --> Imperfetto","noi vivevamo"
"voi create --> Imperfetto","voi creavate"
"loro(f) evitano --> Imperfetto","loro(f) evitavano"
"io riconosco --> Imperfetto","io riconoscevo"
"voi restate --> Imperfetto","voi restavate"
"tu smetti --> Imperfetto","tu smettevi"
"loro(f) ascoltano --> Imperfetto","loro(f) ascoltavano"
"tu aspetti --> Imperfetto","tu aspettavi"
"voi dimostrate --> Imperfetto","voi dimostravate"
"tu finanzi --> Imperfetto","tu finanziavi"
"voi entrate --> Imperfetto","voi entravate"
"lui torna --> Imperfetto","lui tornava"
"tu attui --> Imperfetto","tu attuavi"
"lei combatte --> Imperfetto","lei combatteva"
"loro(m) vengono --> Imperfetto","loro(m) venivano"
"io partecipo --> Imperfetto","io partecipavo"
"io prevengo --> Imperfetto","io prevenivo"
"tu ti svegli --> Imperfetto","tu ti svegliavi"
"loro(m) mantengono --> Imperfetto","loro(m) mantenevano"
"lui pulisce --> Imperfetto","lui puliva"
"lei prepara --> Imperfetto","lei preparava"
"voi promuovete --> Imperfetto","voi promuovevate"
"voi state --> Imperfetto","voi stavate"
"noi controlliamo --> Imperfetto","noi controllavamo"
"loro(m) ricevono --> Imperfetto","loro(m) ricevevano"
"voi vi vestite --> Imperfetto","voi vi vestivate"
"noi chiediamo --> Imperfetto","noi chiedevamo"
"lei cresce --> Imperfetto","lei cresceva"
