"Position","Verb","Form","Front","Back"
"0","amare","Imperfetto","io amo -> Imperfetto","io amavo"
"0","amare","Imperfetto","tu ami -> Imperfetto","tu amavi"
"0","amare","Imperfetto","lui ama -> Imperfetto","lui amava"
"0","amare","Imperfetto","lei ama -> Imperfetto","lei amava"
"0","amare","Imperfetto","noi amiamo -> Imperfetto","noi amavamo"
"0","amare","Imperfetto","voi amate -> Imperfetto","voi amavate"
"0","amare","Imperfetto","loro(m) amano -> Imperfetto","loro(m) amavano"
"0","amare","Imperfetto","loro(f) amano -> Imperfetto","loro(f) amavano"
"0","amare","Passato remoto","io amo -> Passato Remoto","io amai"
"0","amare","Passato remoto","tu ami -> Passato Remoto","tu amasti"
"0","amare","Passato remoto","lui ama -> Passato Remoto","lui amò"
"0","amare","Passato remoto","lei ama -> Passato Remoto","lei amò"
"0","amare","Passato remoto","noi amiamo -> Passato Remoto","noi amammo"
"0","amare","Passato remoto","voi amate -> Passato Remoto","voi amaste"
"0","amare","Passato remoto","loro(m) amano -> Passato Remoto","loro(m) amarono"
"0","amare","Passato remoto","loro(f) amano -> Passato Remoto","loro(f) amarono"
"0","amare","Futuro semplice","io amo -> Futuro","io amerò"
"0","amare","Futuro semplice","tu ami -> Futuro","tu amerai"
"0","amare","Futuro semplice","lui ama -> Futuro","lui amerà"
"0","amare","Futuro semplice","lei ama -> Futuro","lei amerà"
"0","amare","Futuro semplice","noi amiamo -> Futuro","noi ameremo"
"0","amare","Futuro semplice","voi amate -> Futuro","voi amerete"
"0","amare","Futuro semplice","loro(m) amano -> Futuro","loro(m) ameranno"
"0","amare","Futuro semplice","loro(f) amano -> Futuro","loro(f) ameranno"
"0","amare","Passato prossimo","io amo -> Perfetto","io ho amato"
"0","amare","Passato prossimo","tu ami -> Perfetto","tu hai amato"
"0","amare","Passato prossimo","lui ama -> Perfetto","lui ha amato"
"0","amare","Passato prossimo","lei ama -> Perfetto","lei ha amato"
"0","amare","Passato prossimo","noi amiamo -> Perfetto","noi abbiamo amato"
"0","amare","Passato prossimo","voi amate -> Perfetto","voi avete amato"
"0","amare","Passato prossimo","loro(m) amano -> Perfetto","loro(m) hanno amato"
"0","amare","Passato prossimo","loro(f) amano -> Perfetto","loro(f) hanno amato"
"0","amare","Trapassato prossimo","io amo -> Trapassato Prossimo","io avevo amato"
"0","amare","Trapassato prossimo","tu ami -> Trapassato Prossimo","tu avevi amato"
"0","amare","Trapassato prossimo","lui ama -> Trapassato Prossimo","lui aveva amato"
"0","amare","Trapassato prossimo","lei ama -> Trapassato Prossimo","lei aveva amato"
"0","amare","Trapassato prossimo","noi amiamo -> Trapassato Prossimo","noi avevamo amato"
"0","amare","Trapassato prossimo","voi amate -> Trapassato Prossimo","voi avevate amato"
"0","amare","Trapassato prossimo","loro(m) amano -> Trapassato Prossimo","loro(m) avevano amato"
"0","amare","Trapassato prossimo","loro(f) amano -> Trapassato Prossimo","loro(f) avevano amato"
"0","amare","Futuro anteriore","io amo -> Futuro Anteriore","io avrò amato"
"0","amare","Futuro anteriore","tu ami -> Futuro Anteriore","tu avrai amato"
"0","amare","Futuro anteriore","lui ama -> Futuro Anteriore","lui avrà amato"
"0","amare","Futuro anteriore","lei ama -> Futuro Anteriore","lei avrà amato"
"0","amare","Futuro anteriore","noi amiamo -> Futuro Anteriore","noi avremo amato"
"0","amare","Futuro anteriore","voi amate -> Futuro Anteriore","voi avrete amato"
"0","amare","Futuro anteriore","loro(m) amano -> Futuro Anteriore","loro(m) avranno amato"
"0","amare","Futuro anteriore","loro(f) amano -> Futuro Anteriore","loro(f) avranno amato"
"0","amare","Congiuntivo Presente","io amo -> (che) Presente","che io ami"
"0","amare","Congiuntivo Presente","tu ami -> (che) Presente","che tu ami"
"0","amare","Congiuntivo Presente","lui ama -> (che) Presente","che lui ami"
"0","amare","Congiuntivo Presente","lei ama -> (che) Presente","che lei ami"
"0","amare","Congiuntivo Presente","noi amiamo -> (che) Presente","che noi amiamo"
"0","amare","Congiuntivo Presente","voi amate -> (che) Presente","che voi amiate"
"0","amare","Congiuntivo Presente","loro(m) amano -> (che) Presente","che loro(m) amino"
"0","amare","Congiuntivo Presente","loro(f) amano -> (che) Presente","che loro(f) amino"
"0","amare","Congiuntivo Passato","io amo -> (che) Perfettoal","che io abbia amato"
"0","amare","Congiuntivo Passato","tu ami -> (che) Perfettoal","che tu abbia amato"
"0","amare","Congiuntivo Passato","lui ama -> (che) Perfettoal","che lui abbia amato"
"0","amare","Congiuntivo Passato","lei ama -> (che) Perfettoal","che lei abbia amato"
"0","amare","Congiuntivo Passato","noi amiamo -> (che) Perfettoal","che noi abbiamo amato"
"0","amare","Congiuntivo Passato","voi amate -> (che) Perfettoal","che voi abbiate amato"
"0","amare","Congiuntivo Passato","loro(m) amano -> (che) Perfettoal","che loro(m) abbiano amato"
"0","amare","Congiuntivo Passato","loro(f) amano -> (che) Perfettoal","che loro(f) abbiano amato"
"0","amare","Congiuntivo Trapassato","io amo -> (che) Trapassato","che io avessi amato"
"0","amare","Congiuntivo Trapassato","tu ami -> (che) Trapassato","che tu avessi amato"
"0","amare","Congiuntivo Trapassato","lui ama -> (che) Trapassato","che lui avesse amato"
"0","amare","Congiuntivo Trapassato","lei ama -> (che) Trapassato","che lei avesse amato"
"0","amare","Congiuntivo Trapassato","noi amiamo -> (che) Trapassato","che noi avessimo amato"
"0","amare","Congiuntivo Trapassato","voi amate -> (che) Trapassato","che voi aveste amato"
"0","amare","Congiuntivo Trapassato","loro(m) amano -> (che) Trapassato","che loro(m) avessero amato"
"0","amare","Congiuntivo Trapassato","loro(f) amano -> (che) Trapassato","che loro(f) avessero amato"
"0","amare","Congiuntivo Imperfetto","io amo -> (che) Imperfetto","che io amassi"
